,Ichtyobodóza,"Kinetoplastea
( bičivky )",Ichyobodo sp .,"zejména plůdek
kůže , žábry","fazolovitý tvar , 2 bičíky ,
vytváří cysty
Nejrozšířenější a nejzávažnější
onem .
Široké teplotní rozmezí
vyšší t vody ( 2-10-25-38 ° C )
nižší pH ( 5-6 ) , mladé ryby
aktivní vysávání buněčného
obsahu","zesílení
epidermis ,
vymizení
hlenových buněk ,
odlupování buněk ,
selhání
osmoregulace",20 μm
,Kryptobióza,"Kinetoplastea
( bičivky )","Cryptobia
branchialis ,
C. iubilans","všechny druhy ryb ,
zejména plůdek
C. iubilans akvarijní
ryby , trávicí trakt
žábry","nárůsty kryptobií na žábrách
( kůži ) - dušení - hynutí
vyšší t vody
DDg .: spironukleoźa ( bez
granulomů )","překrvené žábry s
nárůsty kryptobií ,
granulomy v GIT a
ost . orgánech",
,Trypanosomóza,"Kinetoplastea
( bičivky )","Trypanosoma sp .
( 30-70μm )","kapr , lín , štika , amur ,
okoun , úhoř , ...
krev","Infekce : pijavky
koncem zimy a na jaře , u
přítoku , ryby tmavé , vyhublé ,
endoftalmus , malátné","tmavá
pigmentace ,
vpadlé oči ,
kachexie , anemie
žaber , krváceniny
v kůži",
,Trypanoplasmóza,"Kinetoplastea
( bičivky )","Trypanoplasma sp .
( do 30μm )",,,,
"15,16","Mikrosporidiózy
spojené s tvorbou
xenomů",,"Glugea Antala ?
Rod Glugea - Glugea |
anomala","koljuška tříostná ,
halančíci","Tvorba xenomů = symbiotický
komplex mikrosporidie a
hostitelské buňky","atrofie okolní
tkáně ,
po rupture
xenomů :
proliferativní
zánět",
"15,16",,,"Rod Loma
Loma salmonae",všechni druhy pstruhů,"Vznik xenomů v žábrech
buňkách žaberních cév
V","ischemie
hyperplastické
žaberní tkáně ,
petechie a výskyt
cystám
podobných
bělavých útvarů
na žábrách",
,"Mikrosporidiózy
difúzním spojené
postižením tkání
ryb
Pleistoforóza",,"Pleistophora
hyphessobryconis",Akvarijní ryby,"chronicky , sporoforní váčky ve
svalovině , poruchy pohybu a
rovnováhy , apatie","změna barvy
bělavé okrsky ,
zježení šupin ,
kachexie ,
deformity páteře",
,"Mikrosporidiózy
difúzním spojené
postižením tkání
ryb
Pleistoforóza",,"Rod : Pseudoloma
Pseudoloma
neurophilia",Dánio pruhované,,"zpočátku
myopatie ,
agregáty spor v
mozku , míše ,
nervových
gangliích , v
míšních nervech",
,"Fomóza plynového
měchýře
lososovitých",Fungi,Phoma herbarum,"Lososovití rodu
Oncorhynchus","infekce : plnění pl . Měchýře
rozrůstání plísně v pl . měchýři
- prorůstání do ledvin , dutiny
tělní , svaloviny -
vodnatelnost - anemie
hynutí
plůdek do 100 dnů věku
nakazí se v průběhu prvního
plnění plynového měchýře","tmavá
pigmentace , zvětšení dutiny
tělní , výhřez řiti ,
shluky plísní a
tmavočervený
hlen v pl .
měchýři",
,Ichtyofonóza,"Ichtyosporea
( Mesomycetozoa )","hoferi
Ichthyophonus",lososovití,"pozření - vyklíčení - krevní oběh
celé tělo - rozrůstání - cystózní
útvary -schizont - zánět -
granulace - porucha funkce
orgánu podle napadených orgánů
nervové příznaky , defekty na
kůži , tmavé zbarvení
nižší teplota vody ( optimum
10 ° C )
-",granulomy,200 um
,"Proliferativní
onemocnění ledvin","Myxozoa
( výtrusenky )","Tetracapsuloides
bryosalmonae","lososovití
ledviny , ( slezina )","dvojhostitelský původce : Bryozoa
proliferace v ledvinách a slezině
mladší věkové kategorie
vyšší teplota vody ( nad 12 ° C )","zduření ledvin ,
sleziny , drobné
uzlíčkovité útvary
v orgánech ,
zvětšení DT",
,"Myxobolóza
lososovitých","Myxozoa
( výtrusenky )","Myxobolus
cerebralis",lososovití,"Proliferace v kůži , podkoží ,
nervové tkáni
tvorba spor v chrupavčité tkáni
plůdek poruchy plavání ,
inapetence , kachexie , ztmavnutí
těla
ryby do 6-7cm
teplota vody 10-15 ° C
myxospora nitěnky ( bezobratlý
hostitel ) - actinospora ( tzv .
triactinomyxon )
-",,
,"Myxozoární
onemocnění žaber ,
kůže , ledvin ,
močových cest a
plynového
měchýře","Myxozoa
( výtrusenky )","Myxobolus
basilamellaris ,
Myxobolus dispar ,
Thelohanellus
nikolskii ,
Sphaerospora
molnari ,
S. dykovae","Kaprovité
hl . plůdek",,"cystózní útvary ,
nekrózy",
,Monogeneózy,"Monogenea
( motolicovce )","rody Dactylogyrus ,
Gyrodactylus ,
Thaparocleidus
( Silurodiscoides ) ,
Pseudodactylogyrus ,
Tetraonchus
Eudiplozoon | Gyrodactylus sp . | Tetraonchus
monentreon | Diplozoon paradoxum","různé druhy dle
hostitelské specifičnosti
kůže , žábry","akutní až chronický p .
uchycení - reinfekce - dráždění .
hyperplasie - nekrobiotické
hynutí procesy - dušení
otírání o předměty
infekce přímo kontaktem","žábry okrskovitě
našedlé , zduřelé ,
nekrotická
ložiska , zvýšené
zahlenění kůže ,
šedavé okrsky",Dactylogyrus :
"25,26","Oční
motoličnatost",Trematoda ( motolice ),"rod Diplostomum
Diplostomum
spathaceum",Sladkovodní ryby,"larvální stádia , metacerkárie
metacerkárie v oční čočce
miracidium je součást VC
definitivním hostitelem je
rybožravý pták
1. MH : plž
2.MH : ryba",,
"25,26",,,"rod Tylodelphys
Tylodelphys clavata",Okoun říční,"shluk metacerkárií ve sklivci ryb
definitivním hostitelem je
rybožravý pták",,
,Sanguinikolóza,Trematoda ( motolice ),"rod Sanguinicola
krevnička rybí
s . inermis ( Kapr ) ,
S. armata ( Lín )",,"dospívají v krevním systému
miracidium je součást VC
dochází k obturaci kapilár v
žábrách a ledvinách ryb
MH : plž",,
,Postodiplostomóza,Trematoda ( motolice ),"Posthodiplostomum
cuticola",,"miracidium je součást VC
definitivním hostitelem je
rybožravý pták
1. MH : plž
2.MH : ryba","černé skvrny
v kůži
( metacerkárie
obklopené
melaninem )",
"29,30,31,32,33",Střevní cestodózy,"Cestoda
( tasemnice )","Schizocotyle
acheilognathi",střevo,,,
"29,30,31,32,33",,,"Atractolytocestus
huronensis",střevo,,,
"29,30,31,32,33",,,Khawia sinensis,střevo,"DH : ryba
Ovajíčko vajíčko s onkosférou
MH : nitěnky s procerkoidem",,Tas
"29,30,31,32,33",,,Proteocephalus sp .,střevo,"DH : ryba
Ovajíčko s onkosférou ⇒
MH : buchanka s formujícím se
procerkoidem ● buchanka s již
vyvinutým procerkoidem",,
"29,30,31,32,33",,,"Neogryporhynchus
sp .",střevo,cysticerkoid,,
,Ligulóza,"Cestoda
( tasemnice )",Ligula intestinalis,Dutina tělní,"DH : pták
Otrus - vajíčko ● vodní prostředí
- koracidium →
1.MH : buchanka ( klanonožec )
2.MH : ryba ( kaprovitá )
Procerkoid je součást vývoje",Zvětšení DT,"Plerocerkoid v tělní
dutině"
,Trienoforóza,"Cestoda
( tasemnice )","Triaenophorus sp .
Triaenophorus
nodulosus","DH : štika
játra","DH : štika dospělý jedinec
tasemnice
Ovodní prostředí vajíčko →
koracidium >
1.MH : klanonožec ( buchanka ) -
procerkoid
2.MH : ryba ( pstruh , okoun ) -
plerocerkoid
Procerkoid je součást vývoje",,"Cysty
s plerocerkoidy na
játrech"
,Filometroidóza,"Nematoda
( hlístice )","Philometroides
cyprini","Kůže - šupinová pouzdra
Kapr ?","snižuje komerční kvalitu kapra
obecného v důsledku přítomnosti
červeně zbarvených samic
parazita v šupinových pouzdrech
ryb",,
,Anguilikolóza,"Nematoda
( hlístice )","Anguillicoloides
crassus",Plynový měchýř,"DH : ryba dospělá hlístice
vajíčko s L2
vodní prostředí - vajíčko
s L2 L2 >
MH : klanonožec L2 - L3
Paratenický hostitel ( ryba ) – L3
→ DH
Dospělé 2-5 cm
―","vyvolává
patologické
změny na
plynovém
měchýři , které
zahrnují zánět ,
hemoragie a
fibrózu",19
,Rafidaskaridóza,"Nematoda
( hlístice )",Raphidascaris acus,"Střevo , pylorické
přívěsky","Jeden MH : ryba nebo blešivec
Pozrieť sa na vývojový cyklus !",,
"39,40",Akantocefalózy,"Acanhtocephala
( háčikohlavce )","Acanthocephalus
sp .
Dospělci : 0,5-3 cm",střevo,"Vývoj: přes jednoho MH (bentičtí korýši - blešivci),
střechatka, beruška vodní, případně parateničtí
hostitelé (lasturnatky)
• DH: ryba
• ryby se infikují alimentárně, pozřením bentického
korýše (MH) nebo drobné ryby (paratenický hostitel)
změny v zažívacím traktu – zánět, hyperplazie
střevního epitelu, odčerpávání živin – kachexie,
nekrotické změny, obturace až perforace střeva,
produkce toxických látek",,
"39,40",,,"Pomporhynchus
laevis",střevo,"Vývoj: přes jednoho MH (bentičtí korýši - blešivci),
střechatka, beruška vodní, případně parateničtí
hostitelé (lasturnatky)
• DH: ryba
• ryby se infikují alimentárně, pozřením bentického
korýše (MH) nebo drobné ryby (paratenický hostitel)
změny v zažívacím traktu – zánět, hyperplazie
střevního epitelu, odčerpávání živin – kachexie,
nekrotické změny, obturace až perforace střeva,
produkce toxických látek",,
,Hirudineózy,,"Piscicola geometra ,
Cystobranchus
respirans ,
C. fasciatus",všechny druhy ryb,"Přenašeči krevních bičíkovců ,
rezervoáry virů
p . chronický ; uchycení - sání krve
- zánětlivá ložiska až nekrózy –
anemie
při komorování : neklid , zvedání ryb
k hladině a k přítoku
okem patrné pijavky , po odpadnutí
okrouhlé skvrny , anémie",,
,Ergasilóza,"Arthropoda
( článkonožce )",Ergasilus sp .,žábry,,,
,Lerneóza,"Arthropoda
( článkonožce )",Lernea cyprinacea,kůže,,,
,Argulóza,"Arthropoda
( článkonožce )",Argulus foliaceus,kůže,,,
